Tipologia;Ragione_sociale;Comune;Provincia;Indirizzo;CAP;Telefono;Email;Sito_Web;Dipendenti;Data_convenzione;Settore;Codice_ATECO;Descrizione
AZIENDA;BEDIGITAL S.R.L.;VERONA;VR;VIA GINO BELTRAMINI 15/A;37124;0458352440;amministrazione@bedigital.it;www.bedigital.it;7;12-04-2018;;62.09.09;Altre attività dei servizi connessi alle tecnologie dell'informatica nca
AZIENDA;BEDONI SRL;VERONA;VR;VIALE DELL'INDUSTRIA 38;37100;0458230133;mirkobedoni@studiobedoni.it;;4;;;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività i
AZIENDA;BENCAR AUTO;VERONA;VR;VIA ANTONIO DA LEGNAGO;37141;0458868121;bencarauto@libero.it;;;;;;
AZIENDA;BENBOLTS DI BENCINI SRL;VERONA;VR;VIA TORRICELLI 3/A;37100;0458202822;info@benbocts.it;www.benbocts.it;14;;;;
AZIENDA;BENDAZZOLI LUCIO IMPIANTI ELETTROTECNICI;PASTRENGO;VR;VIA TACCONI 2/A;37010;0457170664;luciobend@teletu.it;;;;;;
AZIENDA;BENEDETTI GABRIELE ASSISTENZA TECNICA;SONA;VR;VIA SAN FRANCESCO 20;37060;045984013;;;;;;95.22.01;Riparazione di elettrodomestici e di articoli per la casa
AZIENDA;BERGEN S.R.L.;CASTEL D'AZZANO;VR;VIA ROMA, 90;37060;045512090;logistica@bergen.it;www.bergen.it;;;;;
AZIENDA;BERNER SPA;VERONA;VR;VIA DELL'ELETTRONICA, 15;37100;0458670111;info@berner.it;www.berner.it;360;01-06-2019;;46.74.1;Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta)
AZIENDA;BERTI AUTOTRASPORTI SRL;TRENTO;TN;VIA BRENNERO,182;38121;0461/951016;info@bertiautotrasporti.it;berti autotrasporti;61;;;49.41;Trasporto di merci su strada
AZIENDA;BERTI MACCHINE AGRICOLE SPA;CALDIERO;VR;VIA MUSI, 1/A-3;37042;0456139711;info@bertima.it;http://www.bertima.it/it/index.php;74;07-05-2019;;28.30.90;Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia
AZIENDA;BERTON MOBILI SNC DI FELIVE E MARCO;BOVOLONE;VR;VIA DELL'INDUSTRIA,9/11;37051;0456949024;;;6;;;31.09.10;Fabbricazione di mobili per arredo domestico
AZIENDA;BETTELLI STUDIO ASSOCIATO;SAN MARTINO BUON ALBERGO;VR;PIAZZA GARIBALDI 6/D;37036;045990875;bettelli@studiobettelli.it;;4;;;69.20.11;Servizi forniti da dottori commercialisti
AZIENDA;BIEMME COMPUTERS S.R.L.;LUGAGNANO DI SONA;(VR);VIA EMILIA 2/A;37012;0456766282;l.perina@biemmecomputers.it;http://www.biemmecomputers.it/;;14-01-2016;;;
AZIENDA;BIOLO TRASPORTI SRL;BUTTAPIETRA;VR;VIA DELL'IMPRENTITORE,7;37060;0456661340;info@biolotrasporti.it;;21;;;;
AZIENDA;BIOMEDICALE SRL;MILANO;MI;VIALE ANDREA DORIA 17;20100;02976791;HR@BIOMEDICALE.BIO;http://www.biomedicale.bio/;;;;33.13.03;Riparazione e manutenzione di apparecchi elettromedicali, di materiale medico-chirurgico e veterinar
AZIENDA;BIONDAN S.P.A.;VERONA;VR;VIA DEL VEGRON, 2;37141;045/8950555;biondan@biondan.it;http://www.biondan.it/;;;;23.70.2;Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico
AZIENDA;BIROLLI F & C SNC;SONA;VR;VIA GIAROLA,1;37060;045891082;lorenzobirolli@alice.it;;6;;;;ALIMENTARI ARTIGIANATO
AZIENDA;BISSOLI F.LLI SRL;OPPEANO;VR;QUAIOTTO , 108;37050;0457130122;info@bissolicarrozzeria.it;www.bissolicarrozzeria.it;10;;;45.20.2;Riparazione di carrozzerie di autoveicoli
AZIENDA;BLUE DISTRIBUTION SRL;VERONA;VR;VIA LOCATELLI;37100;;claudia@bluedistribution.com;www.bluedistribution.com;33;;;46.42.40;Commercio all'ingrosso di calzature e accessori
AZIENDA;BLUE MILK SRL;VILLAFRANCA DI VERONA;VR;STAFFALI 11E;37069;0457150116;andrea@bluemilk.it;;;20-05-2019;INFORMATICA;;
AZIENDA;BMQUADRO SRL;AFFI;VR;VIA G.PASCOLI 21;37010;0459971290;info@bmquadro.it;www.bmquadro.it;1;13-03-2019;;62.09.09;Altre attività dei servizi connessi alle tecnologie dell'informatica nca
AZIENDA;BONFERRARO SPA;SORGA';VR;VIA OBERDAN, 57;37060;0456649216;gabriel.panarotto@bonferraro.it;http://www.smeg.it/negozi/bonferraro/;;;;27.51.00;Fabbricazione di elettrodomestici
AZIENDA;FORNO BONOMI S.P.A.;ROVERE' VERONESE;VR;CONTRADA VAZZI, 7;37028;045/6509300;info@fornobonomi.com;www.fornobonomi.com/it/contatti;160;20-05-2019;COSTRUZIONE DEL MEZZO;10.72.0;Produzione di fette biscottate, biscotti  prodotti di pasticceria conservati
AZIENDA;BORASO STEFANO IMPIANTI ELETTRICI;ISOLA DELLA SCALA;VR;VIA CAMPAGNA 17;37063;3358163926;boraso.stefano@virgilio.it;;1;;;;
AZIENDA;BOSCAINI SCARPE SRL;SONA;VR;VIA MOLINARA 7;37060;0456080332;;;26;;;464240;
AZIENDA;BPS COMPUTER SRL;SAN GIOVANNI LUPATOTO;VR;PIAZZA UMBERTO I, 47;37057;045549872;stefania@bpscomputer.it;www.bpscomputer.it;;14-05-2019;INFORMATICA;47.41.00;Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in eserc
AZIENDA;BREMBENET;ISOLA DELLA SCALA;VR;VIA MONTE PEGNI, 1;37063;0456630780;info@brembenet.it;;;;;;
AZIENDA;BRIO S.P.A.;ZEVIO;VR;VIA MANZONI, 99;37059;0458351777;personale@briospa.com;www.biospa.com;41;;;46.39.2;Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco
AZIENDA;BRUGI S.P.A.;VERONA;VR;VIA PASTEUR 6;37135;0458299111;sonia.agostino@brugi.it;www.brugi.it;;;;;
AZIENDA;BRUNELLI ROBERTA VIAGGI;AFFI;VR;DANZIA 1B;37010;0457235431;roberta@robertaviaggi.com;www.robertaviaggi.com;1;;;;
AZIENDA;BRUNO SRL;OPPEANO;VR;VIA LINO LOVO 62;37050;0459693922;info@brunosrl.net;www.brunosrl.net;57;;;46.31;Commercio all'ingrosso di frutta e ortaggi freschi o conservati
AZIENDA;BRUTTI LORENZO S.R.L.;VERONA;VR;VIA DELLA MECCANICA, 26;37139;0458181211;bruttilorenzo@bruttilorenzo.it;;37;;;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;BUE FRANCESCA;VERONA;VR;VIA UNITA' D'ITALIA 166/B;37100;0452591645;toelettaturapelolindo@gmail.com;;;;;96.09.04;Servizi di cura degli animali da compagnia (esclusi i servizi veterinari)
AZIENDA;BUSATO MORENO;ISOLA DELLA SCALA;VR;PZZ. MARTIRI DELLA LIBERTA', 1/C;37063;0456630581;busato.m@brembenet.it;;;;;95.21.00;Riparazione di prodotti elettronici di consumo audio e video
AZIENDA;C.E.R. CONSORZIO ELETTROTECNICI RIUNITI;BARDOLINO;VR;VIA EUROPA UNITA', 26;37011;0456212374;info@certecnoelettro.it;;;;;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;C.I.E. SRL;CASTEL D'AZZANO;VR;VIA VERDI, 26;37060;0452066153;c.i.e.so@alice.it;http://www.cieimpiantielettricivr.com/;;;;;
AZIENDA;C.L. TECH SRL;SAN GIOVANNI LUPATOTO;VR;PIAZZA CARLO ZINELLI 1;37057;0458766758;info@cltechtrade.com;;;;;;
AZIENDA;C.L.TECH SRL;SAN GIOVANNI LUPATOTO;VR;VIS SCHIAPPARELLI,7;37057;0458766750;info@cltechsrl.it;www.cltechsrl.it;5;24-05-2019;;;
AZIENDA;C.O.D. GROUP;VERONA;VR;VIA MAIELLA 8;37100;;info@coudgroup.it;www.codgroup.it;3;27-05-2019;;46.45.00;Commercio all'ingrosso di profumi e cosmetici
AZIENDA;C.P. SRL DI CUBI L. E PERINA G.;VILLAFRANCA DI VERONA - DOSSOBUONO;VR;VIA A. VOLTA;37062;0458600065;info@cubiperina.it;http://cubiperina.it/;;;;;
AZIENDA;CAB LOG S.R.L.;OPPEANO;VR;VIA MARCO BIAGI 11/13;37050;; a.traino@cab-log.it;;;13-05-2019;;;
AZIENDA;CAD & CO SAS;NEGRAR;VR;VIA VALPARADISO ,3;37024;;;;2;;INFORMATICA;;
AZIENDA;CAD IT SPA;VERONA;VR;VIA TORRICELLI, 44/A;37136;0458211111;risorseumane@caditgroup.comroup.com;www.caditgroup.com;491;23-05-2018;INFORMATICA;62.01;Produzione di software non connesso all'edizione
AZIENDA;CALIBER SRL;VIGASIO;VR;VIA DEL LAVORO 9/A;37068;0457364614;info@calibersrl.it;www.calibersrl.it;14;;;43.91;Realizzazione di coperture
AZIENDA;CALZEDONIA S.P.A.;VALLESE;VR;VIA SALIERI, 30;37050;0456997153;marilisa.manfre@calzedonia.it;www.calzedonia.com;750;;;46.42.30;Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili
AZIENDA;CALZOLERIA LA RAPIDA;VERONA;VR;VIALE SPOLVERINI 10;37131;3407310640;;;;;;95.23.00;Riparazione di calzature e articoli da viaggio in pelle, cuoio o in altri materiali simili
AZIENDA;CAMON SPA;ALBAREDO D'ADIGE;VR;VIA LUCIO COSENTINI 1;37041;0456608511;camon@camon.it;www.camon .it;90;28-05-2019;LOGISTICA;46.49.9;Commercio all'ingrosso di vari prodotti di consumo non alimentare nca
AZIENDA;CAMPEGGIO SPIAGGIA D'ORO S.R.L.;LAZISE;VR;VIA GARDESANA,122;37017;045758007;;www.campingsiaggiadoro.com;8;;;55.30.00;Aree di campeggio e aree attrezzate per camper e roulotte
AZIENDA;CANEVAWORLD RESORT SRL;LAZISE;VR;VIA FOSSALTA, 58;37017;0456969900;germana.amicabile@canevaworld.it;www.canevaworld.it;;;;;
AZIENDA;CANGRANDE SAS DI BRIGHENTI G & C;POIANO;VR;STRADA DELLA GIARA 9/E;37142;0458403336;agenzia@cangrandeauto.it;www.cangrandeauto.it;8;;;82.99.99;Altri servizi di sostegno alle imprese nca
AZIENDA;CARRARO NICOLA;LAZISE;VR;VIA DEGLI OLMI,22;37017;3482724237;carrarocaldaie@gmail.com;;;;;;
AZIENDA;CARROZZERIA IMPERIA;CERRO VERONESE;VR;VIA VESTERLE, 1;37020;0457080713;imperiacerro@libero.it;;;;;;
AZIENDA;CASA DI RIPOSO B. ALBERTINI;ISOLA DELLA SCALA;VR;VIA DEL DONATORE DI SANGUE;37063;0457301562;direzione@cralbertini.it;wwwcralbertini.it;;31-05-2019;;;
AZIENDA;CASAESPORT DI LAURA BELTRAME;VERONA;VR;VIA GALILEI,8;37138;0452226408;info@casaesport.it;www.casaesport.it;1;;;47.59.99;Commercio al dettaglio di altri articoli per uso domestico nca
AZIENDA;CASAGRANDE ELETTROCOSTRUZIONI S.P.A.;CASTEL D'AZZANO;VR;VIA G. ROSSINI, 24;37060;0458546511;info@casagrande.vr.it;;;;;;
AZIENDA;CASSIANI TECNOLOGIE SRL;CASTELNUOVO DEL GARDA;VR;VIA STAZIONE,128/B;37014;0456081625;amministrazione@cassianitecnologie.it;www.cassianitecnologie.it;7;;;28.29.92;Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non domestico
AZIENDA;CAZZADOR IMPIANTI ELETTRICI;POVEGLIANO VERONESE;VR;VIALE DELLA TECNICA 36;37064;;info@cazzadorimpianti.it;;;18-05-2019;ELETTRONICA;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;CENIGOMMA SRL UNIPERSONALE;VERONA;VR;STRADA DELL'ALPO,26;37136;0458283711;personale.arroweld@arroweld.com;www.arroweld.it;48;;;;
AZIENDA;CENTRO AUTO E FUORISTRADA S.R.L.;VERONA;VR;VIALE DEL LAVORO, 34;37100;045582444;o.elena@autobertucco.it;;50;;;;
AZIENDA;CENTRO FORMAZIONE EXTRA SCOLASTICA E CULTURALE IO COMPUTER;VERONA;VR;VIA FINCATO,88;37131;3493444519;info@iocomputer@gmail.com;www.io-computer.it;2;;;;
AZIENDA;CENTRO RICAMBI VERONA SRL;VERONA;VR;VIA DEL COMMERCIO, 56;37135;0458203366;info@centroricambiverona.it;;;29-01-2015;;;
AZIENDA;CENTRO UFFICIO S.N.C.;ZEVIO;VR;VIA ALTICHIERO, 81;37059;0457135441;info@centroufficio.it;www.centroufficio.it/;7;22-05-2019;INFORMATICA;;
AZIENDA;CENTROFER STIZZOLI S.R.L.;VERONA;VR;VIA MAIELLA 4/C;37132;0458920888;info@centrofer.it;www.centrofer.it;20;;;47.19.9;Empori ed altri negozi non specializzati di vari prodotti non alimentari
AZIENDA;CERPELLONI  S.R.L.;SAN MARTINO BUON ALBERGO;VR;VIA TORRICELLI 14E;37036;045532612;info@cerpelloni.com;;5;;;43.22.01;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute
AZIENDA;CERPELLONI GIOVANNI (DITTA INDIVIDUALE);VERONA;VR;VIA VILLA COZZA, 33;37100;045 532612;segreteria@cerpelloni.com;;;;;43.22.01;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute
AZIENDA;CESPED S.P.A.;PAVIA DI UDINE;UD;VIALE GRADO, 134;33050;0432659911;ffracco@cesped.it;www.cesped.it;;;;;
AZIENDA;CGIL CAMERA DEL LAVORO TERRITORIALE DI VERONA;VERONA;VR;VIA SETTEMBRINI, 6;37123;0458674624;segreteria@cgilverona.it;www.cgilverona.it;30;;;94.20.00;Attività dei sindacati di lavoratori dipendenti
AZIENDA;CHIARINI AUTOMAZIONI S.R.L. A SOCIO UNICO;MARANO DI VALPOLICELLA;VR;VIA DELL' ARTIGIANATO, 30;37020;0456800863;commerciale@chiariniautomazioni.it;www.chiariniautomazioni.it;10;;;;
AZIENDA;CIAT ITALIA SRL;PESCANTINA;VR;VIA NASSAR, 46;37026;0456750065;s.peruzzi@cipriani-phe. com;www.cipriani-phe.com;;;;;
AZIENDA;CICE CENTRO ITALO-IRANIANO DI COOPERAZIONE CULTURALE ECONOMICA;VERONA;VR;STRADA LA RIZZA 59F;37135;045584380;italia@cice.eu;cice.eu;1;;;82.99.99;Altri servizi di sostegno alle imprese nca
AZIENDA;CIEMME  SAS;PESCANTINA;VR;VIA E.FERMI 10;37026;0456700707;;;1;;;;
AZIENDA;CIESSE SPA;RIGNANO SULL'ARNO;FI;VIA GIUSEPPE DI VITTORIO,66;50067;055696417;ciesse@ciesse-spa.it;www.ciessespa.it;100;;;;
AZIENDA;CIN CIN BAR DI CHIARAMONTE MONICA;BOVOLONE;VR;VIA MADONNA 297;37051;0456901798;monicachiaramonte@gmail.com;;2;17-05-2018;;;
AZIENDA;CINQUANTA SRL;SANT'AMBROGIO DI VALPOLICELLA;VR;VIA SPAGNOLE,3 - DOMEGLIARA;37015;0456860922;cinquanta.francesca@cinquantavr.volkswagengroup.it;;;;;;
AZIENDA;CIRCOLO IPPICO PULE ASD;PESCANTINA;VR;VIA FILISSIME,17;37026;3405782962;pule@libero.it;circoloippicopule.it;2;;;;
AZIENDA;CITTA' DEL SOLE S.R.L.;PORTOGRUARO;VE;;30026;0421 394738 - 3336844457;;;;;;;
AZIENDA;CIZETA SOCIETA' AGRICOLA SEMPLICE;CONCAMARISE;VR;VIA CAPITELLO 137/1;37050;3357075022;cizeta.soc.agr@gmail.com;;4;06-07-2018;;01.3;RIPRODUZIONE DELLE PIANTE
ASSOCIAZIONE;CLUBTI-TRIVENETO;PADOVA;PD;VIA E.P. MASINI, 2;35100;;;;;;;;
AZIENDA;CLX EUROPE SPA;VERONA;VR;VIA DELL'ARTIGIANATO,8;371135;0458294999;luciuim.b@clxeurope.com;www.clxeurope.com;157;;;;
AZIENDA;CM TRASPORTI SRL;SAN GIOVANNI LUPATOTO;VR;VIA MONTE CIMONE 8;37057;045682754;;;;07-05-2019;;37.54.32;
AZIENDA;COLOMBO 3000 DI LINO MASSAGRANDE;VILLAFRANCA DI VERONA;VR;VIA TRIESTE, 9/B;37069;0456305404;max@colombo3000.com;http://colombo3000.com/;5;14-01-2016;;74.10.21;Attività dei disegnatori grafici di pagine web
AZIENDA;COLOMBO 3000 SRL;VILLAFRANCA DI VERONA;VR;VIA PACE, 40;37069;0456305404;amministrazione@colombo3000.com;www.colombo3000.com;6;23-03-2018;;62.01;Produzione di software non connesso all'edizione
AZIENDA;COLORIFICIO A E B CASATI SPA;VERONA;VR;VIA VALPANTENA 59/B;37100;045550244;federico.disola@casati.it;;67;;;;
AZIENDA;COMBICARGO SRL;VERONA;VR;VIA GIOVANNI DELLA CASA 19;37122;0455117223;direzione@combicargosrl.com;;4;;;49.41;Trasporto di merci su strada
AZIENDA;COMET SPA;SONA;VR;VIA TRENTINO,1;37060;0521296711;valentina.casadio@gruppocomet.it;;27;;;;
AZIENDA;COMITATO BENEFICO SOMMAVIVA;SOMMACAMPAGNA;VR;VIA CROCETTA 1C;37066;3496123034;sommaviva@libero.it;;;;;94.99.90;Attività di altre organizzazioni associative nca
AZIENDA;COMITEL SRL;VERONA;VR;VIA LUSSEMBURGO 13;37135;045500577;ufficio.tecnico@comitel.com;http://www.comitel.com/;;18-05-2019;TELECOMUNICAZIONI;;
AZIENDA;COMM.INTERLOGISTICA SRL;BELFIORE;VR;VIALE DEL LAVORO 20;37050;0456174973;logistica009@maxidi.it;;123;;;52.29.22;Servizi logistici relativi alla distribuzione delle merci
AZIENDA;COMPITALIA SRL;VERONA;VR;CROSARON N.18;37047;0456106191;compitalia@compitalia.it;http://www.compitalia.eu/;2;;;47.41.00;Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in eserc
AZIENDA;COMPU-NET SRL;VERONA;VR;VIA SCALZI 20;37100;;omar.borgatti@compu-net.it;www.compu-net.it;;28-05-2019;;46.51;Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software
AZIENDA;COMPUTERS CENTER S.N.C.;VILLAFRANCA DI VERONA;VR;VIA QUADRATO, 92;37069;0456300589;nicola@computerscenter.com;http://www.computerscenter.com;11;;;;
AZIENDA;COMPUTER OMNIA DI SANTAGIULIANA FABIO;LONIGO;VI;PIAZZA GARIBALDI, 59;36045;0444437746;info@computeromnia.it;;;;;;
ENTE PUBBLICO;COMUNE DI BADIA CALAVENA;BADIA CALAVENA;VR;P.ZZA MERCATO, 1;37030;045/7810503;protocollo@comune.badiacalavena.vr.it;;10;;;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
ENTE PUBBLICO;COMUNE DI BOVOLONE;BOVOLONE;VR;PIAZZA SCIPIONI, 1;37051;0456995111;amministrazione@bovolone.net;www.bovolone.gov.it;76;14-05-2018;;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
ENTE PUBBLICO;COMUNE DI BUSSOLENGO;BUSSOLENGO;VR;PIAZZA XXVI APRILE, 21;37012;0456769908;scuola@comune.bussolengo.vr.it;;110;;;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
ENTE PUBBLICO;COMUNE DI CALDIERO;CALDIERO;VR;PIAZZA MARCOLUNGO 19;37042;0457650023;segreteria@comune.caldiero.vr.it;www.comune.caldiero.vr.it;19;;;;
AZIENDA;COMUNE DI CAVAION VERONESE;CAVAION VERONESE;VR;PIAZZA G. FRACASTORO, 8;37010;0456265719;segreteria@comunecavaion.it;www.comunecavaion.it;24;;;;
ENTE PUBBLICO;COMUNE DI NEGRAR;NEGRAR;VR;PIAZZA VITTORIO EMANUELE, 37;37024;0456011688;risorseumane@comunenegrar.it;comunenegrar.it;;;;;
ENTE PUBBLICO;COMUNE DI PESCHIERA;PESCHIERA DEL GARDA;VR;PIAZZALE BETTELONI, 3;37019;0457553494 - 0456400600;servizioeducativo@comune.peschieradelgarda.vr.it;;42;;;;
ENTE PUBBLICO;COMUNE DI SAN GIOVANNI LUPATOTO;SAN GIOVANNI LUPATOTO;VR;VIA ROMA, 18;37057;0458290207;personale@comune.sangiovannilupatoto.vr.it;www.comune.sangiovannilupatoto.vr.it;;29-12-2015;;;
ENTE PUBBLICO;COMUNE DI SAN PIETRO IN CARIANO;SAN PIETRO IN CARIANO;VR;VIA CHOPIN, 3;37029;0456832111;protocollo@comune.sanpietroincariano.vr.it ;www.comune.sanpietroincariano.vr.it;;;;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
AZIENDA;COMUNE DI SANT'AMBROGIO DI VALPOLICELLA;SANT'AMBROGIO DI VALPOLICELLA;VR;VIA SENGIO,1;37010;0456832624;pinali@comune.santambrogio.vr.it;www.comune.santambrogio.it;;;;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
ENTE PUBBLICO;COMUNE DI VERONA;VERONA;VR;P.ZZA BRA', 1;37121;0458077400;tirocini.lavoro@comune.verona.it;;2009;;;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali  amministrazione finanziaria  amm
AZIENDA;COMUNE DI ZEVIO;ZEVIO;VR;VIA PONTE PEREZ, 2;37059;0456068411; ecologia@comune.zevio.vr.it;www.comune.zevio.vr.it;;;;;
AZIENDA;CONSOLINI ERMANNO;S. ZENO DI MONTAGNA;VR;VIA CONTRADA SAN ZENO, 5;37010;3382656193;ermaconsolini@teletu.it;;;;;;
AZIENDA;CONSORZIO AGRARIO DEL NORD EST;TREVENZUOLO;VR;VIA CADERMANETTO 2;37060;3477821874;roberto.soave@agrinordest.it;http://www.agrinordest.it/;;17-12-2015;;;
AZIENDA;CONSORZIO GOLDBERG GESTIONI SOCIETA' COOPERATIVA;VERONA;VR;VIA FRANCO RUSSOLI 3;37100;0458901141;f.gioia@consorziogoldberg.it;;14;;;;
AZIENDA;CONSORZIO ZAILOG;VERONA;VR;VIA SOMMACAMPAGNA 61;37100;0458082186;info@zailog.it;www.zailog.it;3;;;;
AZIENDA;CONTI SISTEMI VERONA SRL;VERONA;VR;CIRC.A.ORIANI 2;37100;0457080148;info@contisistemi.it;www.conti-sistemi.com;5;09-05-2019;;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
AZIENDA;COOP. SERVICE SOCIETA' COOPERATIVA;REZZATO;BS;VIA NAPOLEONICA,7;25086;0302594360;info@coopservice.info;www.coopservice.info;15;12-12-2018;;52.24.40;Movimento merci relativo ad altri trasporti terrestri
COOPERATIVA;COOPERATIVA SOCIALE GALILEO SCARL;VERONA;VR;VIA BRAMANTE 15;37139;045577444;csgalileo@csgalileo.org;;126;28-04-2018;;82.2;ATTIVITÀ DEI CALL CENTER
COOPERATIVA;COOPERATIVA SOCIALE SI-FA;VERONA;VR;VIA F.CASAROTI 35 ,;37131;3296543586;sifa.coop@gmail.com;www.si-fa.com;30;27-05-2019;;;
;COPYGRAPH SRL;MOZZECANE;VR;VIA 1 MAGGIO N.20/C;37060;0456340570;amministrazione@copygraph.it;www.copygraph.it;15;;;;
ASSOCIAZIONE;CORPO BANDISTICO COMUNE DI NEGRAR;NEGRAR;VR;VIA FRANCIA,4;37024;3474609538;info@bandanegrar.it;www.bandanegrar.it;55;;;;
AZIENDA;CORRA' SICUREZZA S.R.L.;BUTTAPIETRA;VR;VIA PROVINCIALE EST, 22;37060;0456660087;corra@corrasicurezza.it;;;;;;
AZIENDA;CORRADI CARLO CARPENTERIA METALLICA;VERONA;VR;VIA GIUSEPPE SILVESTRI 2;37142;0458802115;carpenteriametallicacorr@tin.it;;3;20-05-2019;;25.11.00;Fabbricazione di strutture metalliche e parti assemblate di strutture
AZIENDA;CORRADO BENEDETTI SRL;SANT'ANNA D'ALFAEDO;VR;CROCE DELLO SCHIOPPO 1;37020;0457545186;comunicazione@corradobenedetti.it;www.corradobenedetti.it;2;20-05-2019;LOGISTICA;47.29.1;Commercio al dettaglio di latte e di prodotti lattiero-caseari
AZIENDA;CORSI S.P.A.;VERONA;VR;VIA SOMMACAMPAGNA, 22;37137;0458628611;vanni@corsispa.it;www.corsispa.it;;;;;
AZIENDA;CORSINI COMMERCIO CANCELLERIA SRL;VERONA;VR;VIA N. COPERNICO, 12;37100;0458204050;info@corsinioffice.it;http://www.corsinioffice.it/;30;;;46.49.1;Commercio all'ingrosso di carta, cartone e articoli di cartoleria
AZIENDA;CORTE GIARA S.R.L.;FUMANE;VR;VIA GIARE, 5;37022;0456832063;amministrazione@allegrini.it;www.cortegiara.com;38;;;;
AZIENDA;COSTRUZIONE METALLICHE BERTAGNOLI RENATO;GREZZANA;VR;VIA NICOLO' COPERNICO,25;37023;0458668066;michele@bertagnolirenato.it;;13;18-05-2019;INFORMATICA;25.11;Fabbricazione di strutture metalliche e di parti di strutture
AZIENDA;CREACTIVES S.P.A.;VERONA;VR;VIA  ENRICO FERMI 4;37100;0456261357;serena.bevilacqua@creactives.com;;37;20-05-2019;INFORMATICA;62.01.0;Produzione di software non connesso all'edizione
AZIENDA;CREATIVE ADV SNC;VERONA;VR;VIA PASCOLI 4;37035;0456260736;alessandro@creativeadv.eu;;2;16-10-2017;;73.11.01;Ideazione di campagne pubblicitarie
ASSOCIAZIONE;CROCE BIANCA VERONA;VERONA;VR;PIAZZA BACANAL 7;37100;0458033700;controller@crocebiancavr.it;;10;13-05-2019;;;
AZIENDA;CROCE VERDE PAV VERONA;VERONA;VR;POLVERIERA VECCHIA,2;37134;045581675;; www.croceverdeverona.org;75;;;;
AZIENDA;CSLAB DI CHIARA FRANCESCA STORTI;RECOARO TERME;VI;VIA RAGAZZIDEL 99,1;36076;3475731687;info@chiarastorti.it;chiarastorti.it;;;;62.02.00;Consulenza nel settore delle tecnologie dell'informatica
AZIENDA;CTM ALTROMERCATO;VERONA;VR;VIA FRANCIA 1/C;37135;0458731875;;www.altromercato.it;92;;;46.39.20;Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco
AZIENDA;CUSIMANO GIUSEPPE;MONREALE;PA;PIAZZA VITTORIO EMANUELE 12;90046;0916402582;elettronica.cusimano@live.it;;4;;;;
AZIENDA;CWS SRL;VERONA;VR;VIA E.TORRICELLI, 37;37136;0458780870;hr@cws.it;www.cws.it;74;;;63.11.11;Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf)
AZIENDA;D.E.C.A. SISTEM SRL;GARDA;VR;CARMELO PREITE,33;37016;0456270017;deca@dallora.it;http://www.dallora.it/d-e-c-a-system/;15;17-05-2018;;27.12;Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
AZIENDA;DA.CA.BO. ANTINCENTIO SAS;SAN GIOVANNI LUPATOTO;VR;VIA MONTI LESSINI 1;37057;0458753071;dallavecchia@hotmail.it;;;23-04-2018;;;
AZIENDA;DAL BARCO SRL;SAN BONIFACIO;VR;VIA VILLANOVA, 75;37047;0456102133;fabio@dalbarco.it;www.dalbarco.it;17;;;;
AZIENDA;DAL CORSO IVO  (DITTA INDIVIDUALE );GREZZANA;VR;VIA U.BOMBIERI 18/BIS;37023;3482712838;info@dalcorsoivo.it;www.dalcorsoivo.it;;;;46.73.29;Commercio all'ingrosso di altri materiali da costruzione
AZIENDA;DALLA PIAZZA S.R.L.;SONA;VR;VIA MINCIO ,2;37060;045984722;dalla.piazza@tin.it;;6;11-06-2019;;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione
